04-30 09:13:10.472 12575 12575 E AndroidRuntime: Process: com.pixelbridge.complications, PID: 12575
04-30 09:13:10.472 12575 12575 E AndroidRuntime: 	at androidx.wear.watchface.complications.data.RangedValueComplicationData.validate(Data.kt:940)
04-30 09:13:10.472 12575 12575 E AndroidRuntime: 	at androidx.wear.watchface.complications.datasource.ComplicationDataSourceService$IComplicationProviderWrapper$onUpdate2$1$1$1.onComplicationData(ComplicationDataSourceService.kt:485)
04-30 09:13:10.472 12575 12575 E AndroidRuntime: 	at androidx.wear.watchface.complications.datasource.SuspendingComplicationDataSourceService$onComplicationRequest$1.invokeSuspend(SuspendingComplicationDataSourceService.kt:36)
04-30 16:17:04.229   605   659 V WindowManager: Setting visibility of Window{86925e2 u0 com.google.android.wearable.watchface.koru.reveal.RevealWatchFaceService}: true, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:48 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.WallpaperWindowToken.setVisibility:190 
04-30 16:17:06.615   605   659 V WindowManager: Setting visibility of Window{86925e2 u0 com.google.android.wearable.watchface.koru.reveal.RevealWatchFaceService}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:48 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.WallpaperWindowToken.setVisibility:190 
04-30 16:17:08.125   605   659 V WindowManager: Setting visibility of Window{86925e2 u0 com.google.android.wearable.watchface.koru.reveal.RevealWatchFaceService}: true, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:48 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.WallpaperWindowToken.setVisibility:190 
04-30 16:17:09.316   605  1600 V WindowManager: Setting visibility of Window{86925e2 u0 com.google.android.wearable.watchface.koru.reveal.RevealWatchFaceService}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:48 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.WallpaperWindowToken.setVisibility:190 
04-30 16:18:03.215   324   324 D io_stats: !@ Read_top(KB): d.process.acore(1771) 168 e.watchface.rwf(5329) 8
04-30 16:19:45.766   605   659 V WindowManager: Setting visibility of Window{86925e2 u0 com.google.android.wearable.watchface.koru.reveal.RevealWatchFaceService}: true, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:48 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.WallpaperWindowToken.setVisibility:190 
04-30 16:19:47.125   605  1969 V WindowManager: Setting visibility of Window{86925e2 u0 com.google.android.wearable.watchface.koru.reveal.RevealWatchFaceService}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:48 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.WallpaperWindowToken.setVisibility:190 
04-30 16:19:47.453   324   324 D io_stats: !@ Read_top(KB): rild(622) 852 m.android.phone(1177) 720 e.watchface.rwf(5329) 468
04-30 16:20:51.601   324   324 D io_stats: !@ Read_top(KB): e.watchface.rwf(5329) 16
04-30 16:33:59.143   605   659 V WindowManager: Setting visibility of Window{86925e2 u0 com.google.android.wearable.watchface.koru.reveal.RevealWatchFaceService}: true, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:48 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.WallpaperWindowToken.setVisibility:190 
04-30 16:34:04.313   605  4215 V WindowManager: Setting visibility of Window{86925e2 u0 com.google.android.wearable.watchface.koru.reveal.RevealWatchFaceService}: false, caller=com.android.server.wm.WindowContainer.sendAppVisibilityToClients:19 com.android.server.wm.WindowToken.setClientVisible:48 com.android.server.wm.WallpaperWindowToken.setVisible$1:3 com.android.server.wm.WallpaperWindowToken.commitVisibility:48 com.android.server.wm.WallpaperWindowToken.setVisibility:190 
